Dijon mustard	Spring@;Summer@;Autumn@;Winter	Other#_1#_tsp	
English muffin	Spring@;Summer@;Autumn@;Winter	Grain#_1#_small@;Grain#_35#_g	
almond (with skin)	Spring@;Summer@;Autumn@;Winter	Calcium#_100#_g	
apple	Spring@;Summer@;Autumn@;Winter	Fruit#_1#_whole@;Fruit#_150#_g	
apricot	Summer	Fruit#_2#_whole@;Fruit#_150#_g	
artichoke	Spring@;Autumn	Vegetable#_1#_cup (raw)@;Vegetable#_150#_g (raw)@;Vegetable#_75#_g (cooked)@;Vegetable#_0.5#_cup (cooked)	
asian greens	Spring@;Autumn@;Winter	Vegetable#_150#_g (raw)@;Vegetable#_75#_g (cooked)@;Vegetable#_1#_cup (raw)@;Vegetable#_0.5#_cup (cooked)	
asian pear/nashi	Autumn@;Winter	Fruit#_1#_whole@;Fruit#_150#_g	
asparagus	Spring@;Summer	Vegetable#_75#_g (cooked)@;Vegetable#_0.5#_cup (cooked)@;Vegetable#_1#_cup (raw)@;Vegetable#_150#_g (raw)	
avocado	Spring@;Summer@;Autumn@;Winter	Fruit#_1#_whole@;Fruit#_150#_g	
baby wombok (asian green)	Summer@;Autumn	Vegetable#_0.5#_cup (cooked)@;Vegetable#_150#_g (raw)@;Vegetable#_1#_cup (raw)@;Vegetable#_75#_g (cooked)	
banana	Spring@;Summer@;Autumn	Fruit#_150#_g@;Fruit#_1#_whole	
barley	Spring@;Summer@;Autumn@;Winter	Grain#_0.25#_cup (raw)@;Grain#_50#_g (raw)@;Grain#_0.5#_cup (cooked)@;Grain#_100#_g (cooked)	
basil	Summer@;Autumn	Other#_1#_tbsp	
bay leaf	Spring@;Summer@;Autumn@;Winter	Other#_1#_piece@;Other#_1#_some@;Other#_1#_tsp	
bayberry	Summer	Fruit#_150#_g@;Fruit#_1#_cup	
bean (borlotti)	Autumn	Vegetable#_1#_cup (raw)@;Vegetable#_150#_g (raw)@;Vegetable#_75#_g (cooked)@;Vegetable#_0.5#_cup (cooked)	
bean (broad)	Spring@;Winter	Vegetable#_75#_g (cooked)@;Vegetable#_0.5#_cup (cooked)@;Vegetable#_1#_cup (raw)@;Vegetable#_150#_g (raw)	
bean (butter)	Summer@;Autumn	Vegetable#_1#_cup (raw)@;Vegetable#_150#_g (raw)@;Vegetable#_0.5#_cup (cooked)@;Vegetable#_75#_g (cooked)	
bean (green)	Spring@;Summer@;Autumn	Vegetable#_0.5#_cup (cooked)@;Vegetable#_75#_g (cooked)@;Vegetable#_150#_g (raw)@;Vegetable#_1#_cup (raw)	
bean (kidney)	Spring@;Summer@;Autumn@;Winter	Vegetable#_75#_g (cooked)@;Vegetable#_150#_g (raw)@;Vegetable#_0.5#_cup (cooked)@;Vegetable#_1#_cup (raw)	
bean sprouts	Spring@;Summer@;Autumn	Vegetable#_150#_g (raw)@;Vegetable#_1#_cup (raw)@;Vegetable#_75#_g (cooked)@;Vegetable#_0.5#_cup (cooked)	
bean/legume	Spring@;Summer@;Autumn@;Winter	Protein#_75#_g (dried)@;Protein#_1#_cup (cooked)@;Protein#_0.5#_cup (dried)@;Protein#_150#_g (cooked)@;Vegetable#_75#_g (cooked)@;Vegetable#_37#_g (dried)@;Vegetable#_0.5#_cup (cooked)@;Vegetable#_0.25#_cup (dried)	
beef	Spring@;Summer@;Autumn@;Winter	Protein#_95#_g (raw)@;Protein#_65#_g (cooked)	
beef mince	Spring@;Summer@;Autumn@;Winter	Protein#_65#_g (cooked)@;Protein#_95#_g (raw)	
beetroot	Spring@;Summer@;Autumn	Vegetable#_75#_g (cooked)@;Vegetable#_0.5#_large@;Vegetable#_2#_small@;Vegetable#_1#_medium@;Vegetable#_0.5#_cup (cooked)@;Vegetable#_1#_cup (raw)@;Vegetable#_150#_g (raw)	
begonia fruit	Autumn	Fruit#_150#_g@;Fruit#_1#_cup	
bell fruit/wax apple	Spring@;Summer	Fruit#_150#_g@;Fruit#_2#_whole	
